Qty,Component,Recommended Amazon Product/Link,Approx. Price (USD),Estimated Shipping to Nepal (USD),Notes / Sourcing Tips
1,Microcontroller (Raspberry Pi Pico RP2040),Waveshare Raspberry Pi Pico Board (with headers & cable),$10–15,$20–40 (international),Official-compatible; includes USB cable option. Many variants ship internationally. Local Daraz Nepal often cheaper/faster.
1,Optical Sensor (PMW3360 salvaged),Logitech G203 Lightsync Wired Gaming Mouse (donor for salvage),$20–35 (new/renewed),$25–50,Contains PMW3360 sensor + lens. Salvage carefully (hot air desolder). Prefer local Nepal buy (Daraz) to cut shipping — often available used/refurb for less.
1,Sensor Lens,Included with above donor mouse,Included,Included,Must keep mounting posts intact; reattach after upside-down sensor mount.
6,Mechanical Switches,Omron D2F-01F Microswitches (pack of 10 or similar; buy 1–2 packs),$10–20 per pack,$20–35 per order,Exact high-durability match (or D2FC compatible). Flush solder to PCB.
1,Scroll Wheel Encoder,MECCANIXITY 11mm Mouse Wheel Encoder (pack of 5),$10–15 (pack),$20–35,Must be 11mm Alps-compatible height/footprint. Critical for fit.
1,Critical 39Ω Resistor (SMD 0603/0805),SMD Resistor Assortment Kit (includes 39Ω & commons) (search & pick kit with values),$8–15 (kit),$20–35,Often pre-populated on JLCPCB fab; get spares. Wrong value risks sensor LED damage.
~10,Spare Resistors (various SMD),Included in above assortment kit,Included,Included,Backup for rework/errors.
1,USB Cable,Short USB to Dupont/Header Cable (30cm or similar),$8–12 (pack),$20–35,Dupont-compatible ideal; crimp/solder as needed. Short length best.
4,"Dupont Header Pins (male, optional)","Included in many Dupont cable packs above, or Dupont Pins Assortment",$5–10 (pack),$20–35,For easy USB connection instead of direct solder.
1,3D Printed Case (full set: top/bottom),Print locally from repo STLs,$2–5 (filament),$0 (local),Use Nepal 3D print service/home printer. No Amazon needed.
2,3D Printed Thumb Side Buttons,Print locally,Included in case,$0,Rotate for support-free print; fit around switches.
1,3D Printed Scroll Wheel,Print locally (or salvage if possible),Included,$0,Slow print speed for balance; match encoder shaft.
1,3D Printed Scroll Wheel Brace,Print locally,Included,$0,Fits middle button; spikes inward.
~8–10,Mouse Feet / Skates (PTFE dots),"Universal PTFE Mouse Skates Dots (40+ pieces, 0.6mm thick)",$10–15,$20–35,Thickness ±0.25mm critical for sensor height/tracking. Cut to fit.
5–6,Small Screws (~M2 machine screws),"M2 Screws Assortment Kit (Phillips pan head, stainless/black)",$10–20 (kit),$20–35,~2mm major diameter; don't overtighten. For PCB & case.